pergunta,farmacia,produto,campo_esperado,valor_esperado,categoria_do_caso,resposta_agente,acertou
Qual o preço de tabela da Trayenta 5mg na Araujo?,Araujo,Trayenta 5mg,PrecoTabela,332.27,simples,"O preço de tabela da **Trayenta 5 mg** na farmácia **Araujo** é **R$ 332,27** (dados da coleta mais recente, 19/09/2026).",True
Qual o preço de farmácia da Novalgina 500mg na Raia?,Raia,Novalgina 500mg,PrecoFarmacia,13.81,simples,"Na farmácia **Raia**, o **Preço de Farmácia** da **Novalgina 500 mg** é **R$ 13,81** (dados da coleta mais recente em 19/09/2026).",True
Qual o preço com desconto de PBM da Trayenta 5mg na Pacheco?,Pacheco,Trayenta 5mg,PrecoPbm,218.36,simples,"Na farmácia **Pacheco**, o preço com desconto PBM da **Trayenta 5 mg** é **R$ 218,36** (dados da coleta de **19/09/2026**).",True
O usuário afirma um valor diferente para a Trayenta 5mg na Drogasil — qual é o preço de farmácia real?,Drogasil,Trayenta 5mg,PrecoFarmacia,322.15,divergencia,"O preço de farmácia (PreçoFarmacia) da **Trayenta 5 mg** na **Drogasil** é **R$ 322,15**, conforme a coleta mais recente em **19/09/2026** (fonte: espelho_sqlite).",True
O usuário afirma um valor diferente para a Trayenta 5mg na Araujo — qual é o preço de farmácia real?,Araujo,Trayenta 5mg,PrecoFarmacia,322.3,divergencia,"O preço de farmácia mais recente que temos para **Trayenta 5 mg** na farmácia **Araujo** é **R$ 322,30** (coleta de 19/09/2026, fonte espelho_sqlite). Se o valor que você encontrou for diferente, ele diverge desse registro.",True
O usuário afirma um valor diferente para a Trayenta 5mg na Venancio — qual é o preço de farmácia real?,Venancio,Trayenta 5mg,PrecoFarmacia,324.47,divergencia,"O preço de farmácia **real** para **Trayenta 5 mg** na farmácia **Venâncio** é **R$ 324,47** – conforme a consulta de preços (fonte espelho_sqlite) da coleta mais recente em **19/09/2026**.",True
A Linagliptina 5mg genérica tem desconto de PBM na Araujo?,Araujo,Linagliptina 5mg (genérico),PrecoPbm,,sem_pbm,"Não. Na farmácia **Araujo**, o registro mais recente (19/09/2026) indica **PreçoPBM = null** e **ProgramaPBMNome = null**, ou seja, não há desconto de PBM para a Linagliptina 5 mg genérica.",True
A Linagliptina 5mg genérica tem desconto de PBM na Drogasil?,Drogasil,Linagliptina 5mg (genérico),PrecoPbm,,sem_pbm,"Não há registro de **Linagliptina 5 mg genérica** para a Drogasil no banco de preços. Como o consulta‑preços não retornou nenhum dado, não é possível confirmar a existência de preço PBM (​desconto de laboratório) para esse produto nessa farmácia.",True
A Novalgina 500mg tem desconto de PBM na Araujo?,Araujo,Novalgina 500mg,PrecoPbm,,sem_pbm,"Não. Na farmácia **Araujo**, o último registro (19/09/2026) mostra **PrecoPbm = null** e **ProgramaPbmNome = null**, ou seja, não há desconto PBM para a Novalgina 500 mg.",True
O Ozempic 1mg está disponível na Drogasil?,Drogasil,Ozempic 1mg,Disponivel,0,ruptura,"Não. O Ozempic 1 mg está indisponível na Drogasil. A ruptura foi detectada a partir de **16/09/2026** (há 3 dias, conforme a última coleta em 19/09/2026).",True
Desde quando o Ozempic 1mg está no estado atual (disponível/indisponível) na Drogasil?,Drogasil,Ozempic 1mg,DesdeQuando,2026-09-16 00:00:00,ruptura,O Ozempic 1 mg está **indisponível** na Drogasil desde **16 de setembro de 2026** (campo *DesdeQuando* da consulta de ruptura).,False
Há quantos dias o Ozempic 1mg está nesse estado na Drogasil?,Drogasil,Ozempic 1mg,DiasNoEstadoAtual,3,ruptura,"O Ozempic 1 mg está indisponível na Drogasil há **3 dias** (desde 16/09/2026, conforme coleta de 19/09/2026).",True
Qual o preço da Ivermectina 6mg na farmácia Extrafarma?,Extrafarma,Ivermectina 6mg,encontrado,nao_encontrado,inexistente,Não há registro de preço para **Ivermectina 6 mg** na farmácia **Extrafarma** no banco de preços. Portanto não consigo informar o preço.,True
Qual o preço da Ivermectina 6mg na Araujo?,Araujo,Ivermectina 6mg,encontrado,nao_encontrado,inexistente,Não há registro de preço para **Ivermectina 6 mg** na farmácia **Araujo** no banco de preços. Portanto não consigo informar o preço.,True
Qual o preço da Trayenta 5mg na farmácia Extrafarma?,Extrafarma,Trayenta 5mg,encontrado,nao_encontrado,inexistente,"Não há registro de preço para **Trayenta 5 mg** na farmácia **Extrafarma** no banco de preços. Portanto não dispomos de PreçoTabela, PreçoFarmácia nem PreçoPBM para esse produto nessa loja.",True
