fabricante,marca,produto,principio_ativo,eh_referencia,produto_referencia,farmacia,sku_farmacia,data_hora_coleta,preco_tabela,preco_farmacia,preco_pbm,programa_pbm,disponivel
Boehringer Ingelheim,Trayenta,Trayenta 5mg,Linagliptina,1,,Araujo,ARA-0001,2026-09-10 00:00:00,336.36,326.27,218.63,Abraçar a Vida - Boehringer,1
Boehringer Ingelheim,Trayenta,Trayenta 5mg,Linagliptina,1,,Araujo,ARA-0001,2026-09-11 00:00:00,332.23,322.26,215.95,Abraçar a Vida - Boehringer,1
Boehringer Ingelheim,Trayenta,Trayenta 5mg,Linagliptina,1,,Araujo,ARA-0001,2026-09-12 00:00:00,333.91,323.89,217.04,Abraçar a Vida - Boehringer,1
Boehringer Ingelheim,Trayenta,Trayenta 5mg,Linagliptina,1,,Araujo,ARA-0001,2026-09-13 00:00:00,333.56,323.55,216.81,Abraçar a Vida - Boehringer,1
Boehringer Ingelheim,Trayenta,Trayenta 5mg,Linagliptina,1,,Araujo,ARA-0001,2026-09-14 00:00:00,337.01,326.9,219.06,Abraçar a Vida - Boehringer,1
Boehringer Ingelheim,Trayenta,Trayenta 5mg,Linagliptina,1,,Araujo,ARA-0001,2026-09-15 00:00:00,336.61,326.51,218.8,Abraçar a Vida - Boehringer,1
Boehringer Ingelheim,Trayenta,Trayenta 5mg,Linagliptina,1,,Araujo,ARA-0001,2026-09-16 00:00:00,338.05,327.91,219.73,Abraçar a Vida - Boehringer,1
Boehringer Ingelheim,Trayenta,Trayenta 5mg,Linagliptina,1,,Araujo,ARA-0001,2026-09-17 00:00:00,332.65,322.67,216.22,Abraçar a Vida - Boehringer,1
Boehringer Ingelheim,Trayenta,Trayenta 5mg,Linagliptina,1,,Araujo,ARA-0001,2026-09-18 00:00:00,334.9,324.85,217.69,Abraçar a Vida - Boehringer,1
Boehringer Ingelheim,Trayenta,Trayenta 5mg,Linagliptina,1,,Araujo,ARA-0001,2026-09-19 00:00:00,332.27,322.3,215.98,Abraçar a Vida - Boehringer,1
